Trail,Waypoint,File,Attribution,url,Caption
Ios,Skarkos,assets\Ios\skarkos_1,"C messier, Wikimedia",https://upload.wikimedia.org/wikipedia/commons/9/93/%CE%A3%CE%BA%CE%AC%CF%81%CE%BA%CE%BF%CF%82_6253.jpg,View of the prehistoric site of Skarkos from the top of the castle of Ios.
Ios,Skarkos,assets\Ios\skarkos_2,"Zde, Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/82/Skarkos_EC_II_130272.jpg,Skarkos hill.
Ios,Skarkos,assets\Ios\skarkos_3,"Zde, Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/d/d5/Skarkos_130296.jpg,"The main street of the Early Cycladic town. Skarkos, Ios."
Ios,Early Modern Houses,,,,
Ios,Early Modern Houses,,,,
Ios,Early Modern Houses,,,,
Ios,Windmills,assets\Ios\windmills_1,"C messier, Wikimedia",https://upload.wikimedia.org/wikipedia/commons/4/42/%CE%A7%CF%8E%CF%81%CE%B1_%CE%8A%CE%BF%CF%85_6401.jpg,"View of the Chora of Ios, Greece, from the windmills located east of it."
Ios,Windmills,,,,
Ios,Windmills,,,,
Ios,Archaeological Museum,,,,
Ios,Archaeological Museum,,,,
Ios,Archaeological Museum,,,,
